0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,1,16.125,267.5,5.3,3.5,0.29,0.33,18.875,290.375,5.2,3.7,0.33,0.39,0,16.375,285.1875,4.7,4.4,0.43,0.31,26.0625,376.25,7.0,4.4,0.43,0.47
0,0,23.8125,317.8125,5.6,3.8,0.43,0.45,21.625,336.0625,5.6,4.7,0.43,0.63,1,23.625,337.0,6.0,4.7,0.38,0.3,18.8125,291.0,5.5,3.8,0.34,0.31
0,1,25.125,345.9375,6.1,4.5,0.42,0.6,19.625,333.375,5.9,4.6,0.4,0.43,0,21.625,312.625,5.7,3.8,0.36,0.67,12.25,252.75,4.5,3.8,0.34,0.62
1,0,20.0,364.125,6.9,3.9,0.39,0.36,17.4375,309.3125,5.4,4.5,0.37,0.38,1,13.5625,273.4375,5.0,4.1,0.24,0.33,20.5625,329.1875,5.8,3.8,0.37,0.82
0,1,22.9375,329.5,6.4,3.8,0.44,0.56,20.25,310.25,5.9,3.8,0.38,0.5,0,19.1875,321.4375,5.5,4.3,0.4,0.52,22.8125,299.1875,5.3,4.0,0.35,0.36
0,0,20.8125,332.8125,5.7,4.6,0.37,0.33,22.9375,377.125,6.6,4.2,0.38,0.64,1,24.5,380.625,6.4,5.0,0.38,0.7,21.5,301.625,5.5,3.9,0.44,0.5
1,0,29.1875,375.0,7.2,5.1,0.42,0.6,24.9375,390.5,6.4,4.8,0.42,0.59,1,22.4375,314.75,6.6,4.0,0.4,0.33,21.0,341.4375,6.0,4.6,0.44,0.56
1,1,20.5,303.1875,5.5,4.6,0.34,0.69,19.6875,333.4375,5.9,4.3,0.39,0.55,0,25.9375,350.25,5.8,4.5,0.39,0.5,15.0625,297.125,5.0,4.3,0.31,0.39
1,1,22.9375,356.3125,5.8,4.6,0.52,0.62,21.9375,322.375,6.0,4.2,0.47,0.73,0,19.75,347.4375,6.1,4.1,0.39,0.6,23.0625,314.0625,6.4,4.1,0.36,0.39
0,1,21.5,314.1875,5.8,4.0,0.41,0.8,20.0,334.25,6.0,4.3,0.4,0.5,0,19.75,289.9375,5.5,4.2,0.38,0.54,22.125,334.5625,5.9,3.7,0.4,0.71
0,1,17.5625,274.6875,5.2,3.5,0.34,0.48,23.6875,350.375,6.1,4.1,0.37,0.6,0,24.875,347.5,6.0,4.3,0.39,0.54,20.5,311.5625,5.2,4.8,0.34,0.38
0,0,19.75,289.9375,5.5,4.2,0.38,0.54,22.125,334.5625,5.9,3.7,0.4,0.71,1,21.8125,351.0,6.6,3.6,0.45,0.77,19.5625,306.8125,5.8,4.3,0.37,0.48
1,1,24.375,387.0,6.1,5.3,0.44,0.47,27.625,360.5625,7.2,4.2,0.39,0.33,0,19.125,279.4375,5.0,4.1,0.3,0.4,28.1875,382.3125,6.7,4.0,0.45,0.73
1,1,21.625,312.625,5.7,3.8,0.36,0.67,12.25,252.75,4.5,3.8,0.34,0.62,0,21.5,314.1875,5.8,4.0,0.41,0.8,20.0,334.25,6.0,4.3,0.4,0.5
0,1,19.1875,321.4375,5.5,4.3,0.4,0.52,22.8125,299.1875,5.3,4.0,0.35,0.36,0,27.0,325.3125,6.0,4.1,0.41,0.62,24.25,362.25,6.0,4.5,0.39,0.6
1,0,24.875,347.5,6.0,4.3,0.39,0.54,20.5,311.5625,5.2,4.8,0.34,0.38,1,23.8125,317.8125,5.6,3.8,0.43,0.45,21.625,336.0625,5.6,4.7,0.43,0.63
0,1,17.4375,325.375,5.5,4.1,0.39,0.37,28.5,329.0625,6.8,4.0,0.42,0.5,0,24.375,372.0,6.6,4.1,0.42,0.61,21.5625,302.1875,5.6,3.8,0.44,0.54
1,0,23.6875,349.4375,6.0,4.1,0.43,0.58,24.8125,324.3125,5.8,4.5,0.37,0.44,1,13.3125,223.25,4.3,3.2,0.26,0.36,22.25,326.875,5.7,4.1,0.36,0.5
0,1,20.0,364.125,6.9,3.9,0.39,0.36,17.4375,309.3125,5.4,4.5,0.37,0.38,0,25.125,345.9375,6.1,4.5,0.42,0.6,19.625,333.375,5.9,4.6,0.4,0.43
1,1,13.5625,273.4375,5.0,4.1,0.24,0.33,20.5625,329.1875,5.8,3.8,0.37,0.82,0,16.125,267.5,5.3,3.5,0.29,0.33,18.875,290.375,5.2,3.7,0.33,0.39
1,1,22.9375,329.5,6.4,3.8,0.44,0.56,20.25,310.25,5.9,3.8,0.38,0.5,0,20.5,303.1875,5.5,4.6,0.34,0.69,19.6875,333.4375,5.9,4.3,0.39,0.55
0,0,28.125,389.8125,6.8,4.3,0.46,0.7,19.0,311.1875,5.8,3.8,0.38,0.45,1,19.75,347.4375,6.1,4.1,0.39,0.6,23.0625,314.0625,6.4,4.1,0.36,0.39
1,1,20.8125,332.8125,5.7,4.6,0.37,0.33,22.9375,377.125,6.6,4.2,0.38,0.64,0,29.1875,375.0,7.2,5.1,0.42,0.6,24.9375,390.5,6.4,4.8,0.42,0.59
0,1,24.5,380.625,6.4,5.0,0.38,0.7,21.5,301.625,5.5,3.9,0.44,0.5,0,23.625,337.0,6.0,4.7,0.38,0.3,18.8125,291.0,5.5,3.8,0.34,0.31
0,1,22.1875,363.625,6.6,4.0,0.43,0.29,23.0625,365.75,5.9,4.9,0.47,0.46,0,22.9375,356.3125,5.8,4.6,0.52,0.62,21.9375,322.375,6.0,4.2,0.47,0.73
0,1,29.1875,375.0,7.2,5.1,0.42,0.6,24.9375,390.5,6.4,4.8,0.42,0.59,0,24.5,380.625,6.4,5.0,0.38,0.7,21.5,301.625,5.5,3.9,0.44,0.5
1,1,22.4375,314.75,6.6,4.0,0.4,0.33,21.0,341.4375,6.0,4.6,0.44,0.56,0,24.375,387.0,6.1,5.3,0.44,0.47,27.625,360.5625,7.2,4.2,0.39,0.33
0,0,20.5,303.1875,5.5,4.6,0.34,0.69,19.6875,333.4375,5.9,4.3,0.39,0.55,1,19.75,289.9375,5.5,4.2,0.38,0.54,22.125,334.5625,5.9,3.7,0.4,0.71
1,1,19.75,347.4375,6.1,4.1,0.39,0.6,23.0625,314.0625,6.4,4.1,0.36,0.39,0,22.1875,363.625,6.6,4.0,0.43,0.29,23.0625,365.75,5.9,4.9,0.47,0.46
1,1,19.125,279.4375,5.0,4.1,0.3,0.4,28.1875,382.3125,6.7,4.0,0.45,0.73,0,17.5625,274.6875,5.2,3.5,0.34,0.48,23.6875,350.375,6.1,4.1,0.37,0.6
0,0,22.9375,356.3125,5.8,4.6,0.52,0.62,21.9375,322.375,6.0,4.2,0.47,0.73,1,27.0,325.3125,6.0,4.1,0.41,0.62,24.25,362.25,6.0,4.5,0.39,0.6
0,1,23.625,337.0,6.0,4.7,0.38,0.3,18.8125,291.0,5.5,3.8,0.34,0.31,0,23.6875,349.4375,6.0,4.1,0.43,0.58,24.8125,324.3125,5.8,4.5,0.37,0.44
1,1,25.125,345.9375,6.1,4.5,0.42,0.6,19.625,333.375,5.9,4.6,0.4,0.43,0,16.125,267.5,5.3,3.5,0.29,0.33,18.875,290.375,5.2,3.7,0.33,0.39
1,0,20.8125,332.8125,5.7,4.6,0.37,0.33,22.9375,377.125,6.6,4.2,0.38,0.64,1,28.125,389.8125,6.8,4.3,0.46,0.7,19.0,311.1875,5.8,3.8,0.38,0.45
0,0,13.3125,223.25,4.3,3.2,0.26,0.36,22.25,326.875,5.7,4.1,0.36,0.5,1,21.5,314.1875,5.8,4.0,0.41,0.8,20.0,334.25,6.0,4.3,0.4,0.5
1,1,25.9375,350.25,5.8,4.5,0.39,0.5,15.0625,297.125,5.0,4.3,0.31,0.39,0,21.625,312.625,5.7,3.8,0.36,0.67,12.25,252.75,4.5,3.8,0.34,0.62
0,0,13.5625,273.4375,5.0,4.1,0.24,0.33,20.5625,329.1875,5.8,3.8,0.37,0.82,1,16.375,285.1875,4.7,4.4,0.43,0.31,26.0625,376.25,7.0,4.4,0.43,0.47
0,0,19.1875,321.4375,5.5,4.3,0.4,0.52,22.8125,299.1875,5.3,4.0,0.35,0.36,1,24.875,347.5,6.0,4.3,0.39,0.54,20.5,311.5625,5.2,4.8,0.34,0.38
1,1,24.375,372.0,6.6,4.1,0.42,0.61,21.5625,302.1875,5.6,3.8,0.44,0.54,0,21.8125,351.0,6.6,3.6,0.45,0.77,19.5625,306.8125,5.8,4.3,0.37,0.48
0,0,17.5625,274.6875,5.2,3.5,0.34,0.48,23.6875,350.375,6.1,4.1,0.37,0.6,1,24.375,387.0,6.1,5.3,0.44,0.47,27.625,360.5625,7.2,4.2,0.39,0.33
0,0,28.125,389.8125,6.8,4.3,0.46,0.7,19.0,311.1875,5.8,3.8,0.38,0.45,1,29.1875,375.0,7.2,5.1,0.42,0.6,24.9375,390.5,6.4,4.8,0.42,0.59
0,1,19.75,289.9375,5.5,4.2,0.38,0.54,22.125,334.5625,5.9,3.7,0.4,0.71,0,24.375,372.0,6.6,4.1,0.42,0.61,21.5625,302.1875,5.6,3.8,0.44,0.54
0,1,17.4375,325.375,5.5,4.1,0.39,0.37,28.5,329.0625,6.8,4.0,0.42,0.5,0,22.9375,329.5,6.4,3.8,0.44,0.56,20.25,310.25,5.9,3.8,0.38,0.5
1,1,23.6875,349.4375,6.0,4.1,0.43,0.58,24.8125,324.3125,5.8,4.5,0.37,0.44,0,19.125,279.4375,5.0,4.1,0.3,0.4,28.1875,382.3125,6.7,4.0,0.45,0.73
1,0,21.625,312.625,5.7,3.8,0.36,0.67,12.25,252.75,4.5,3.8,0.34,0.62,1,16.125,267.5,5.3,3.5,0.29,0.33,18.875,290.375,5.2,3.7,0.33,0.39
0,1,22.4375,314.75,6.6,4.0,0.4,0.33,21.0,341.4375,6.0,4.6,0.44,0.56,0,21.5,314.1875,5.8,4.0,0.41,0.8,20.0,334.25,6.0,4.3,0.4,0.5
0,1,27.0,325.3125,6.0,4.1,0.41,0.62,24.25,362.25,6.0,4.5,0.39,0.6,0,25.125,345.9375,6.1,4.5,0.42,0.6,19.625,333.375,5.9,4.6,0.4,0.43
0,1,13.5625,273.4375,5.0,4.1,0.24,0.33,20.5625,329.1875,5.8,3.8,0.37,0.82,0,22.1875,363.625,6.6,4.0,0.43,0.29,23.0625,365.75,5.9,4.9,0.47,0.46
1,1,22.9375,356.3125,5.8,4.6,0.52,0.62,21.9375,322.375,6.0,4.2,0.47,0.73,0,16.375,285.1875,4.7,4.4,0.43,0.31,26.0625,376.25,7.0,4.4,0.43,0.47
1,0,13.3125,223.25,4.3,3.2,0.26,0.36,22.25,326.875,5.7,4.1,0.36,0.5,1,20.5,303.1875,5.5,4.6,0.34,0.69,19.6875,333.4375,5.9,4.3,0.39,0.55
1,0,24.5,380.625,6.4,5.0,0.38,0.7,21.5,301.625,5.5,3.9,0.44,0.5,1,23.8125,317.8125,5.6,3.8,0.43,0.45,21.625,336.0625,5.6,4.7,0.43,0.63
0,0,21.8125,351.0,6.6,3.6,0.45,0.77,19.5625,306.8125,5.8,4.3,0.37,0.48,1,19.1875,321.4375,5.5,4.3,0.4,0.52,22.8125,299.1875,5.3,4.0,0.35,0.36
0,0,20.0,364.125,6.9,3.9,0.39,0.36,17.4375,309.3125,5.4,4.5,0.37,0.38,1,25.9375,350.25,5.8,4.5,0.39,0.5,15.0625,297.125,5.0,4.3,0.31,0.39
1,0,22.9375,329.5,6.4,3.8,0.44,0.56,20.25,310.25,5.9,3.8,0.38,0.5,1,21.8125,351.0,6.6,3.6,0.45,0.77,19.5625,306.8125,5.8,4.3,0.37,0.48
1,1,21.625,312.625,5.7,3.8,0.36,0.67,12.25,252.75,4.5,3.8,0.34,0.62,0,24.375,387.0,6.1,5.3,0.44,0.47,27.625,360.5625,7.2,4.2,0.39,0.33
0,1,13.3125,223.25,4.3,3.2,0.26,0.36,22.25,326.875,5.7,4.1,0.36,0.5,0,17.4375,325.375,5.5,4.1,0.39,0.37,28.5,329.0625,6.8,4.0,0.42,0.5
1,0,23.8125,317.8125,5.6,3.8,0.43,0.45,21.625,336.0625,5.6,4.7,0.43,0.63,1,23.6875,349.4375,6.0,4.1,0.43,0.58,24.8125,324.3125,5.8,4.5,0.37,0.44
1,0,24.375,372.0,6.6,4.1,0.42,0.61,21.5625,302.1875,5.6,3.8,0.44,0.54,1,21.5,314.1875,5.8,4.0,0.41,0.8,20.0,334.25,6.0,4.3,0.4,0.5
1,1,19.125,279.4375,5.0,4.1,0.3,0.4,28.1875,382.3125,6.7,4.0,0.45,0.73,0,13.5625,273.4375,5.0,4.1,0.24,0.33,20.5625,329.1875,5.8,3.8,0.37,0.82
0,1,17.5625,274.6875,5.2,3.5,0.34,0.48,23.6875,350.375,6.1,4.1,0.37,0.6,0,25.9375,350.25,5.8,4.5,0.39,0.5,15.0625,297.125,5.0,4.3,0.31,0.39
0,0,19.75,289.9375,5.5,4.2,0.38,0.54,22.125,334.5625,5.9,3.7,0.4,0.71,1,25.125,345.9375,6.1,4.5,0.42,0.6,19.625,333.375,5.9,4.6,0.4,0.43
1,0,22.4375,314.75,6.6,4.0,0.4,0.33,21.0,341.4375,6.0,4.6,0.44,0.56,1,20.8125,332.8125,5.7,4.6,0.37,0.33,22.9375,377.125,6.6,4.2,0.38,0.64
0,1,22.1875,363.625,6.6,4.0,0.43,0.29,23.0625,365.75,5.9,4.9,0.47,0.46,0,19.1875,321.4375,5.5,4.3,0.4,0.52,22.8125,299.1875,5.3,4.0,0.35,0.36
1,0,22.9375,356.3125,5.8,4.6,0.52,0.62,21.9375,322.375,6.0,4.2,0.47,0.73,1,28.125,389.8125,6.8,4.3,0.46,0.7,19.0,311.1875,5.8,3.8,0.38,0.45
1,0,19.75,347.4375,6.1,4.1,0.39,0.6,23.0625,314.0625,6.4,4.1,0.36,0.39,1,16.375,285.1875,4.7,4.4,0.43,0.31,26.0625,376.25,7.0,4.4,0.43,0.47
0,0,20.5,303.1875,5.5,4.6,0.34,0.69,19.6875,333.4375,5.9,4.3,0.39,0.55,1,20.0,364.125,6.9,3.9,0.39,0.36,17.4375,309.3125,5.4,4.5,0.37,0.38
0,0,23.625,337.0,6.0,4.7,0.38,0.3,18.8125,291.0,5.5,3.8,0.34,0.31,1,24.875,347.5,6.0,4.3,0.39,0.54,20.5,311.5625,5.2,4.8,0.34,0.38
